Package,LibPath,Version,Priority,License,License_is_FOSS,NeedsCompilation,Built
boot,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3-20,recommended,Unlimited,NA,no,3.5.0
bootstrap,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2017.2,NA,BSD_3_clause + file LICENSE,NA,yes,3.5.0
BradleyTerry2,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-8,NA,GPL (>= 2),NA,no,3.5.0
brew,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-6,NA,GPL-2,NA,NA,3.5.0
brglm,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6.1,NA,GPL (>= 2),NA,yes,3.5.0
bridgesampling,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6-0,NA,GPL (>= 2),NA,no,3.5.0
brms,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.7.0,NA,GPL (>= 3),NA,no,3.5.0
Brobdingnag,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2-6,NA,GPL,NA,no,3.5.1
broom,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.5.1,NA,MIT + file LICENSE,NA,no,3.5.1
broom.mixed,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.3,NA,GPL-3,NA,no,3.5.2
bsts,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.8.0,NA,LGPL-2.1 | file LICENSE,NA,yes,3.5.0
BWStest,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.2,NA,LGPL-3,NA,yes,3.5.2
ca,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.71,NA,GPL,NA,no,3.5.0
cairoDevice,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.25,NA,GPL,NA,yes,3.5.0
callr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.1.1,NA,MIT + file LICENSE,NA,no,3.5.2
car,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.0-2,NA,GPL (>= 2),NA,no,3.5.1
carData,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.0-2,NA,GPL (>= 2),NA,no,3.5.0
caret,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,6.0-81,NA,GPL (>= 2),NA,yes,3.5.0
caretEnsemble,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0.0,NA,MIT + file LICENSE,NA,no,3.5.0
caTools,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.17.1.1,NA,GPL-3,NA,yes,3.5.0
catsplainr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1,NA,MIT + file LICENSE,NA,NA,3.2.4
CausalImpact,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2.3,NA,Apache License 2.0 | file LICENSE,NA,no,3.5.0
cba,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2-19,NA,GPL-2,NA,yes,3.5.0
CCP,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1,NA,GPL,NA,NA,3.5.0
cellranger,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.0,NA,MIT + file LICENSE,NA,no,3.5.0
changes,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0.0.1,NA,GPL-2,NA,NA,3.4.3
checkmate,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.8.5,NA,BSD_3_clause + file LICENSE,NA,yes,3.5.0
checkpoint,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.5,NA,GPL-2,NA,no,3.5.1
chron,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.3-53,NA,GPL-2,NA,yes,3.5.0
class,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,7.3-14,recommended,GPL-2 | GPL-3,NA,yes,3.5.0
classInt,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3-1,NA,GPL (>= 2),NA,yes,3.5.0
cli,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0.1,NA,MIT + file LICENSE,NA,no,3.5.1
clipr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.1,NA,GPL-3,NA,no,3.5.0
clisymbols,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2.0,NA,MIT + file LICENSE,NA,no,3.5.1
clue,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3-56,NA,GPL-2,NA,yes,3.5.1
CluMix,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.1,NA,GPL (>= 2),NA,no,3.5.0
cluster,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0.7-1,recommended,GPL (>= 2),NA,yes,3.5.0
clusterfly,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4,NA,MIT + file LICENSE,NA,no,3.5.0
clusteval,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1,NA,MIT,NA,NA,3.5.0
clustMixType,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1-36,NA,GPL (>= 2),NA,no,3.5.1
ClustOfVar,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1,NA,GPL (>= 2.0),NA,no,3.5.0
cmprsk,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.2-7,NA,GPL (>= 2),NA,yes,3.5.0
coda,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.19-2,NA,GPL (>= 2),NA,no,3.5.0
codetools,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2-16,recommended,GPL,NA,no,3.5.2
coin,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2-2,NA,GPL-2,NA,yes,3.5.0
colorRamps,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.3,NA,GPL,NA,NA,3.5.0
colorspace,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3-2,NA,BSD_3_clause + file LICENSE,NA,yes,3.5.0
colourpicker,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0,NA,MIT + file LICENSE,NA,no,3.5.0
combinat,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-8,NA,GPL-2,NA,NA,3.5.0
